,UNIVERSITY NAME,STATUS,TARGET MAJOR,TERM,GRE(Q),GRE(V),GRE(AWA),GRE(TOTAL),TOEFL IELTS,UG COLLEGE,UG MAJOR,CGPA,PAPERS,WORK EXPERIENCE
123,"Purdue University, West Lafayette",Admit,Computer Science,Fall 2020,170,154,4,324,108,IIT Delhi,ECE,8.34,N/A,0 Mo
124,"University of Massachusetts, Amherst",Admit,Computer Science,Spring 2019,170,164,4.5,334,N/A,IIT Delhi,Computer Science,8.6,N/A,24 Mo
125,Johns Hopkins University,Admit,Cyber Security,Fall 2019,170,157,4,327,108,IIT Delhi,Mathematics,8.1,N/A,0 Mo
126,Carnegie Mellon University,Reject,Machine Learning,Fall 2018,170,162,N/A,332,112,IIT Delhi,Mathematics,9.38,N/A,0 Mo
127,Columbia University,Admit,Computer Science,Fall 2019,169,166,5,335,114,IIT Delhi,EEE,8.9,N/A,42 Mo
128,Yale University,Admit,Computer Science,Fall 2018,170,162,N/A,332,112,IIT Delhi,Mathematics,9.38,N/A,0 Mo
129,"University of Michigan, Ann Arbor",Admit,Electrical & Computer Engineering,Fall 2020,169,151,3.5,320,102,IIT Delhi,EEE,8.6,N/A,0 Mo
130,"University of Illinois, Urbana Champaign",Admit,Industrial Engineering,Fall 2020,167,154,3.5,321,107,IIT Delhi,Industrial Engineering,8.54,N/A,18 Mo
131,Columbia University,Reject,Computer Science,Fall 2017,168,157,4,325,108,IIT Delhi,Computer Science,7.32,N/A,0 Mo
132,North Carolina State University,Reject,Computer Networks,Fall 2017,163,143,3,306,92,IIT Delhi,ECE,9.1,2,41 Mo
133,"State University of New York, Stony Brook",Admit,Computer Science,Fall 2018,170,161,4,331,115,IIT Delhi,Information Technology,85,N/A,0 Mo
134,"University of Illinois, Urbana Champaign",Admit,Civil & Environmental Engineering,Fall 2020,170,149,3,319,93,IIT Delhi,Civil Engineering,8.12,0,15 Mo
135,University of Pennsylvania,Admit,Computer & Information Science,Fall 2018,170,162,N/A,332,112,IIT Delhi,Mathematics,9.38,N/A,0 Mo
136,North Carolina State University,Reject,Data Analytics,Spring 2018,158,148,3.5,306,7,IIT Delhi,Instrumentation Engineering,7.74,N/A,0 Mo
137,"State University of New York, Buffalo",Admit,Industrial Engineering,Fall 2020,167,154,3.5,321,107,IIT Delhi,Industrial Engineering,8.54,N/A,18 Mo
138,George Mason University,Admit,Data Analytics,Fall 2018,160,150,3,310,7.5,IIT Delhi,Information Technology,8,N/A,0 Mo
139,Carnegie Mellon University,Reject,Computer Science,Fall 2018,170,162,N/A,332,112,IIT Delhi,Mathematics,9.38,N/A,0 Mo
140,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2017,160,160,3.5,320,111,IIT Delhi,Computer Science,7.43,N/A,0 Mo
141,"University of Minnesota, Twin Cities",Reject,Computer Science,Fall 2019,166,151,3,317,95,IIT Delhi,ECE,7.22,N/A,18 Mo
142,"State University of New York, Stony Brook",Admit,Computer Science,Fall 2018,168,156,4.5,324,111,IIT Delhi,Computer Science,8.3,N/A,0 Mo
143,The University of Alabama,Admit,Computer Science,Fall 2017,165,152,3,317,108,IIT Delhi,Computer Science,81.39,N/A,0 Mo
144,"State University of New York, Stony Brook",Admit,Computer Science,Fall 2020,170,154,4,324,106,IIT Delhi,Computer Science,7.26,N/A,0 Mo
145,"University of Minnesota, Twin Cities",Reject,Computer Science,Fall 2020,170,154,4,324,108,IIT Delhi,ECE,8.34,N/A,0 Mo
146,Georgia Institute of Technology,Reject,Computer Science,Fall 2017,168,157,4,325,108,IIT Delhi,Computer Science,7.32,N/A,0 Mo
147,"University of California, San Diego",Admit,Computer Science,Spring 2019,170,164,4.5,334,N/A,IIT Delhi,Computer Science,8.6,N/A,24 Mo
148,"Texas A&M University, College Station",Admit,Civil Engineering,Fall 2020,170,149,3,319,93,IIT Delhi,Civil Engineering,8.12,0,15 Mo
149,"University of California, San Diego",Admit,Computer Engineering,Fall 2016,170,164,4,334,117,IIT Delhi,EEE,8.7,N/A,0 Mo
150,Drexel University,Reject,Cyber Security,Spring 2017,154,146,3,300,91,IIT Delhi,Information Technology,79,N/A,0 Mo
151,Columbia University,Reject,Data Science,Fall 2019,170,164,4.5,334,115,IIT Delhi,Physics,8.1,0,52 Mo
152,Columbia University,Admit,Electrical Engineering,Spring 2017,170,164,4,334,108,IIT Delhi,EEE,7.92,N/A,0 Mo
153,Georgia Institute of Technology,Admit,Computer Science,Fall 2018,170,161,3.5,331,113,IIT Delhi,ECE,8.2,N/A,19 Mo
154,New Jersey Institute of Technology,Reject,Cyber Security,Spring 2017,154,146,3,300,91,IIT Delhi,Information Technology,79,N/A,0 Mo
155,"University of Maryland, Baltimore County",Reject,Data Science,Spring 2018,170,152,3,322,92,IIT Delhi,EEE,6.45,N/A,2 Mo
156,"University of Massachusetts, Amherst",Reject,Computer Science,Fall 2019,167,158,4,325,108,IIT Delhi,Textile Engineering,7.9,0,16 Mo
157,University of Cincinnati,Admit,Computer Science,Fall 2018,170,161,4,331,115,IIT Delhi,Information Technology,85,N/A,0 Mo
158,ETH Zurich,Reject,Mechanical Engineering,Fall 2019,169,156,3.5,325,116,IIT Delhi,Mechanical Engineering,8.9,N/A,0 Mo
159,"Purdue University, West Lafayette",Admit,Civil Engineering,Fall 2017,160,154,4,314,114,IIT Delhi,Civil Engineering,85,N/A,0 Mo
160,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2019,169,166,5,335,114,IIT Delhi,EEE,8.9,N/A,42 Mo
161,"Texas A&M University, College Station",Admit,Civil Engineering,Fall 2017,170,152,3.5,322,100,IIT Delhi,Civil Engineering,8.33,2,0 Mo
162,"University of Maryland, College Park",Admit,Civil & Environmental Engineering,Fall 2017,170,159,4,329,114,IIT Delhi,Civil Engineering,8.29,N/A,0 Mo
163,"Rutgers University, New Brunswick",Admit,Computer Science,Fall 2018,169,149,3.5,318,102,IIT Delhi,Computer Science,7.96,N/A,0 Mo
164,"University of Maryland, College Park",Reject,Computer Science,Fall 2019,170,159,4,329,105,IIT Delhi,EEE,7.95,N/A,0 Mo
165,"University of Massachusetts, Amherst",Reject,Computer Science,Fall 2019,170,164,4.5,334,115,IIT Delhi,Physics,8.1,0,52 Mo
166,University of Houston,Admit,Electrical Engineering,Fall 2016,162,152,3.5,314,109,IIT Delhi,EEE,8,N/A,0 Mo
167,"Texas A&M University, College Station",Admit,Civil Engineering,Fall 2017,170,159,4,329,114,IIT Delhi,Civil Engineering,8.29,N/A,0 Mo
168,Cornell University,Reject,Computer Science,Fall 2019,170,160,4,330,111,IIT Delhi,ECE,7.54,N/A,18 Mo
169,Stanford University,Reject,Computer Science,Spring 2019,170,164,4.5,334,N/A,IIT Delhi,Computer Science,8.6,N/A,24 Mo
170,Arizona State University,Reject,Information Technology,Spring 2017,154,146,3,300,91,IIT Delhi,Information Technology,79,N/A,0 Mo
171,"University of Maryland, College Park",Reject,Electrical & Computer Engineering,Fall 2016,170,143,3,313,98,IIT Delhi,Computer Science,7.36,N/A,0 Mo
172,Carnegie Mellon University,Admit,Cyber Security,Fall 2019,170,157,4,327,108,IIT Delhi,Mathematics,8.1,N/A,0 Mo
173,Georgia Institute of Technology,Admit,Civil Engineering,Fall 2017,170,159,4,329,114,IIT Delhi,Civil Engineering,8.29,N/A,0 Mo
174,Delft University of Technology,Admit,Chemical Engineering,Fall 2018,170,158,4,328,106,IIT Delhi,Chemical Engineering,8.22,N/A,0 Mo
175,Texas Tech University,Admit,Electrical Engineering,Fall 2016,162,152,3.5,314,109,IIT Delhi,EEE,8,N/A,0 Mo
176,Pennsylvania State University,Reject,Computer Science,Fall 2020,170,154,4,324,106,IIT Delhi,Computer Science,7.26,N/A,0 Mo
177,Carnegie Mellon University,Reject,Data Science,Fall 2019,167,158,4,325,108,IIT Delhi,Textile Engineering,7.9,0,16 Mo
178,New York University,Reject,Data Science,Fall 2019,167,158,4,325,108,IIT Delhi,Textile Engineering,7.9,0,16 Mo
179,"University of California, San Diego",Admit,Computer Science,Fall 2020,168,158,4,326,108,IIT Delhi,EEE,9.2,N/A,0 Mo
180,"State University of New York, Stony Brook",Admit,Computer Science,Fall 2016,170,143,3,313,98,IIT Delhi,Computer Science,7.36,N/A,0 Mo
181,"University of Texas, Arlington",Admit,Industrial Engineering,Spring 2019,163,150,3,313,N/A,IIT Delhi,Chemical Engineering,6.5,N/A,0 Mo
182,Ohio State University,Admit,Civil Engineering,Fall 2017,170,159,4,329,114,IIT Delhi,Civil Engineering,8.29,N/A,0 Mo
183,"University of Florida, Gainesville",Admit,Computer Engineering,Fall 2019,166,151,3,317,95,IIT Delhi,ECE,7.22,N/A,18 Mo
184,"University of Massachusetts, Amherst",Reject,Computer Science,Fall 2019,170,160,4,330,111,IIT Delhi,ECE,7.54,N/A,18 Mo
185,University of Pennsylvania,Reject,Data Science,Fall 2019,170,164,4.5,334,115,IIT Delhi,Physics,8.1,0,52 Mo
186,"Purdue University, West Lafayette",Reject,Computer Science,Fall 2020,170,154,4,324,106,IIT Delhi,Computer Science,7.26,N/A,0 Mo
187,Georgia Institute of Technology,Reject,Electrical & Computer Engineering,Fall 2019,170,159,4,329,105,IIT Delhi,EEE,7.95,N/A,0 Mo
188,"University of California, Davis",Admit,Civil & Environmental Engineering,Fall 2017,170,159,4,329,114,IIT Delhi,Civil Engineering,8.29,N/A,0 Mo
189,Cornell University,Admit,Civil & Environmental Engineering,Fall 2017,170,159,4,329,114,IIT Delhi,Civil Engineering,8.29,N/A,0 Mo
190,"University of California, San Diego",Reject,Computer Science,Fall 2019,170,160,4,330,111,IIT Delhi,ECE,7.54,N/A,18 Mo
191,"University of Michigan, Ann Arbor",Admit,Data Science,Fall 2019,170,164,4.5,334,115,IIT Delhi,Physics,8.1,0,52 Mo
192,Northwestern University,Reject,Data Analytics,Fall 2017,N/A,N/A,N/A,N/A,114,IIT Delhi,Chemical Engineering,8.2,N/A,0 Mo
193,Rice University,Reject,Computational Science & Engineering,Fall 2019,166,151,3,317,95,IIT Delhi,ECE,7.22,N/A,18 Mo
194,"Texas A&M University, College Station",Admit,Computer Science,Fall 2020,170,154,4,324,108,IIT Delhi,ECE,8.34,N/A,0 Mo
195,"University of Texas, Dallas",Admit,Computer Science,Fall 2015,170,155,4,325,7,IIT Delhi,Computer Science,8,N/A,0 Mo
196,Georgia Institute of Technology,Admit,Data Analytics,Fall 2020,170,151,N/A,321,N/A,IIT Delhi,Computer Science,6.68,N/A,0 Mo
